codprov	coddist	DISTRITO	Hombre	Mujer	Total	PROVINCIA
01	01	BOCAS DEL TORO	8510	7625	16135	BOCAS DEL TORO
01	02	CHANGUINOLA	50878	47432	98310	BOCAS DEL TORO
01	03	CHIRIQUI GRANDE	5655	5361	11016	BOCAS DEL TORO
02	01	AGUADULCE	21468	21892	43360	COCLÉ
02	02	ANTON	28177	26455	54632	COCLÉ
02	03	LA PINTADA	13454	12185	25639	COCLÉ
02	04	NATA	9387	9078	18465	COCLÉ
02	05	OLA	3168	2707	5875	COCLÉ
02	06	PENONOME	43763	41974	85737	COCLÉ
03	01	COLON	103937	102616	206553	COLÓN
03	02	CHAGRES	5407	4596	10003	COLÓN
03	03	DONOSO	7123	5687	12810	COLÓN
03	04	PORTOBELO	4829	4297	9126	COLÓN
03	05	SANTA ISABEL	1896	1540	3436	COLÓN
04	01	ALANJE	8606	7902	16508	COLÓN
04	02	BARU	28721	27054	55775	COLÓN
04	03	BOQUERON	7697	7332	15029	COLÓN
04	04	BOQUETE	11235	10135	21370	COLÓN
04	05	BUGABA	40086	38123	78209	COLÓN
04	06	DAVID	70951	73907	144858	COLÓN
04	07	DOLEGA	12520	12582	25102	COLÓN
04	08	GUALACA	5133	4617	9750	COLÓN
04	09	REMEDIOS	2138	1914	4052	COLÓN
04	10	RENACIMIENTO	11140	9384	20524	COLÓN
04	11	SAN FELIX	3236	3068	6304	COLÓN
04	12	SAN LORENZO	4011	3496	7507	COLÓN
04	13	TOLE	6144	5741	11885	COLÓN
05	01	CHEPIGANA	16644	13466	30110	COLÓN
05	02	PINOGANA	10027	8241	18268	COLÓN
06	01	CHITRE	24377	26307	50684	COLÓN
06	02	LAS MINAS	4126	3425	7551	COLÓN
06	03	LOS POZOS	3969	3509	7478	COLÓN
06	04	OCU	8183	7356	15539	COLÓN
06	05	PARITA	4646	4239	8885	COLÓN
06	06	PESE	6379	6018	12397	COLÓN
06	07	SANTA MARIA	3828	3593	7421	COLÓN
07	01	GUARARE	5198	5183	10381	COLÓN
07	02	LAS TABLAS	13413	13733	27146	COLÓN
07	03	LOS SANTOS	12894	12829	25723	COLÓN
07	04	MACARACAS	4720	4301	9021	COLÓN
07	05	PEDASI	2279	1996	4275	COLÓN
07	06	POCRI	1727	1532	3259	COLÓN
07	07	TONOSI	5371	4416	9787	COLÓN
08	01	ARRAIJAN	109806	110973	220779	COLÓN
08	02	BALBOA	1568	1153	2721	COLÓN
08	03	CAPIRA	20131	18267	38398	COLÓN
08	04	CHAME	12705	11766	24471	COLÓN
08	05	CHEPO	24198	21941	46139	COLÓN
08	06	CHIMAN	1892	1451	3343	COLÓN
08	07	LA CHORRERA	80894	80576	161470	COLÓN
08	08	PANAMA	434691	446000	880691	COLÓN
08	09	SAN CARLOS	10009	8911	18920	COLÓN
08	10	SAN MIGUELITO	152596	162423	315019	COLÓN
08	11	TABOGA	587	532	1119	COLÓN
09	01	ATALAYA	5180	5025	10205	COLÓN
09	02	CALOBRE	6380	5113	11493	COLÓN
09	03	CAÑAZAS	8991	7839	16830	COLÓN
09	04	LA MESA	6280	5351	11631	COLÓN
09	05	LAS PALMAS	9493	8073	17566	COLÓN
09	06	MONTIJO	3465	3107	6572	COLÓN
09	07	RIO DE JESUS	2789	2313	5102	COLÓN
09	08	SAN FRANCISCO	5464	4417	9881	COLÓN
09	09	SANTA FE	8358	7227	15585	COLÓN
09	10	SANTIAGO	43947	45050	88997	COLÓN
09	11	SONA	14769	13064	27833	COLÓN
09	12	MARIATO	2977	2319	5296	COLÓN
10	01	COMARCA KUNA YALA	15769	17340	33109	COMARCA KUNA YALA
11	01	CEMACO	4184	3531	7715	COMARCA EMBERÁ
11	02	SAMBU	1221	1065	2286	COMARCA EMBERÁ
12	01	BESIKO	11644	11888	23532	COMARCA NGÖBE BUGLÉ
12	02	MIRONO	7395	7615	15010	COMARCA NGÖBE BUGLÉ
12	03	MINA	17648	18427	36075	COMARCA NGÖBE BUGLÉ
12	04	NOLE DUIMA	7414	7514	14928	COMARCA NGÖBE BUGLÉ
12	05	ÑURUM	6608	6564	13172	COMARCA NGÖBE BUGLÉ
12	06	KANKINTU	16170	16951	33121	COMARCA NGÖBE BUGLÉ
12	07	KUSAPIN	10310	10599	20909	COMARCA NGÖBE BUGLÉ
